UserId,Number,ResponseId,Trigger,Intersection: 0 = common; 1 = unique ,Common app name,,,Action,Trigger Devices,Trigger Capabilities,Trigger Conditions,Action Devices,Action Capabilities,Action Inputs,Trigger variables,Action Variables,Extra Comment,,,,Frequency,Weeks,Time,Schedule,Execution Indicator
1,1,r-2t9vfwri4enmkfi,mode is Away AND time is (after sunset),0,Bright When Dark And/Or Bright After Sunset,,,switch on the Light Bulb,null,locationMode,location.mode == 'away',Light Bulb,switch,switch1.off(),away,off,Time,,,,FD,Weekend,"17-20,20-6",Scheduled-time (e.g. |  brew coffee at 7 am),"[[19, 22], [1, 19], [5, 17, 23], [], [4, 19, 23], [], [0, 5, 18, 19], [0, 18, 19], [], [], [19, 22], [], [], [3, 5, 19], [], [], [], [17, 20, 23], [18, 23], [2, 19], [3, 18, 19, 23], [], [2, 18, 23], [0, 19, 21], [], [], [], [4, 18, 21]]"
1,2,r-2t9vfwri4enmkfi,mode is Away AND time is (after 10pm +- random(30 minutes),0,Bright When Dark And/Or Bright After Sunset,,,switch off the Light Bulb,null,locationMode,location.mode == 'away',Light Bulb,switch,switch1.off(),away,off,,,,,FM,Weekend,20-6,Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [], [], [], [], [1, 5], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
1,3,r-2t9vfwri4enmkfi,temperature outside > 80F AND mode is Away,1,,,,set level of Air Conditioner to 79F AND close blinds,External Temperature && null,temperatureMeasurement && locationMode,t_temperatureMeasurement1.currentTemperature.toInteger() > 80 && location.mode == 'away',Air Conditioner && Shades/Blinds,thermostat && switch,thermostat1.setCoolingTemperature(79)&& switch1.off(),greater-away,cool-off,,,,,FD,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [8, 10, 21], [19, 20, 21], [], [12, 14, 20], [], [8, 17], [6, 10, 14, 19], [], [], [], [13, 22], [1, 4, 5, 9, 16], [6, 13, 14, 16], [3, 7, 15], [16, 23], [0, 7, 18, 21], [2, 6, 7, 16, 21], [], [7], [], [12, 16, 21], [], [], [0, 2, 3, 7, 19], [], [6, 8, 22]]"
1,4,r-2t9vfwri4enmkfi,temperature outside > 80F AND mode is Home,0,It's Too Hot,,,set level of Air Conditioner to 76F,External Temperature && null,temperatureMeasurement && locationMode,t_temperatureMeasurement1.currentTemperature.toInteger() > 80 && location.mode == 'home',Air Conditioner,thermostat,thermostat1.setCoolingTemperature(76),greater-home,cool,,,,,FD,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [0, 8, 11, 15, 22], [], [], [], [], [9, 18], [10, 17], [], [], [0, 11, 13], [], [], [], [], [], [5, 14, 16, 22, 23], [0, 1, 17, 21], [], [], [19, 23], [7, 13, 14, 21], [2, 22, 23], [], [7, 12, 21], [21], [7, 9, 16, 20], []]"
1,5,r-2t9vfwri4enmkfi,temperature < 50F AND mode is Away,0,It's Too Hot,,,set heatingSetpoint of Thermostat to 55F,Thermostat && null,temperatureMeasurement && locationMode,t_temperatureMeasurement1.currentTemperature.toInteger() < 50&& location.mode == 'away',Thermostat,thermostat,thermostat1.setHeatingSetpoint(55),lesser-away,heat,,,,,FD,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[12, 19], [10, 12, 15, 17], [], [3, 4, 20, 23], [], [], [1, 7, 12], [], [5, 11, 15, 16, 22], [], [6], [23], [8, 21], [], [], [], [], [17, 20, 22], [1, 5, 13, 15, 22], [], [], [], [], [11, 13], [11, 16, 17, 21], [1, 5, 12], [], []]"
1,6,r-2t9vfwri4enmkfi,temperature < 60F AND mode is Home,0,It's Too Hot,,,set heatingSetpoint of Thermostat to 60F,Thermostat && null,temperatureMeasurement && locationMode,t_temperatureMeasurement1.currentTemperature.toInteger() < 60&& location.mode == 'home',Thermostat,thermostat,thermostat1.setHeatingSetpoint(60),lesser-home,heat,,,,,FD,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [17], [], [], [], [], [7, 8, 9, 15, 23], [], [], [9, 15, 23], [], [5, 10, 20, 23], [], [], [4, 19], [8, 16, 17, 18, 22], [], [], [10, 22], [], [], [5], [0, 4, 10, 23], [], [12, 20, 22], [], [], [10, 12, 16, 23]]"
1,7,r-2qcttkzrtr0o2kn,if Thermostat.measure > 72,0,It's Too Hot,,,turn on Fan AND turn on Air Conditioner,Thermostat,temperatureMeasurement,t_thermostat1.currentTemperature.toInteger() > 72,Fan && Air Conditioner,switch && thermostat,switch1.on() && thermostat1.auto(),greater,on-auto,,,,,MD,Anytime,"11-13,13-17,17-20",Executed at random (e.g. |  every time I enter the room),"[[12, 13, 17, 19], [12, 13, 14, 18], [11, 13, 16, 17, 18], [11, 13, 16, 17, 19], [11, 14, 17, 18], [11, 14, 19], [11, 13, 15, 16, 17, 19], [11, 12, 13, 15, 17, 18, 19], [], [11, 12, 15, 17, 18], [], [], [11, 12, 14, 17, 18], [11, 12, 13, 16, 19], [11, 12, 13, 19], [11, 12, 16, 18], [], [11, 12, 16, 17], [11, 12, 13, 14, 18], [12, 13, 16, 19], [], [11, 13, 14, 16, 17, 18], [11, 12, 16, 17, 18], [12, 14, 17], [], [], [], [12, 13, 15, 17, 18]]"
2,8,r-2qcttkzrtr0o2kn,if Thermostat.measure >= 72,0,It's Too Hot,,,turn off Fan and turn off Air Conditioner,Thermostat,temperatureMeasurement,t_thermostat1.currentTemperature.toInteger() < 72,Fan && Air Conditioner,switch && thermostat,switch1.off() && thermostat1.off(),lesser,off-off,,,,,MD,Anytime,"6-11,20-6",Executed at random (e.g. |  every time I enter the room),"[[], [6, 7, 9, 23], [1, 2, 6, 8, 9], [1, 4, 5, 8, 9], [], [0, 8], [0, 5, 7, 8, 9, 10, 20, 23], [], [1, 6, 9, 20], [7, 8, 9, 21, 23], [], [0, 3, 5, 7, 9, 10, 20], [], [], [4, 8, 21], [], [], [], [6, 7, 8, 9, 21], [], [], [1, 2, 5, 7, 9, 23], [], [], [], [0, 8], [1, 6, 8, 23], [1, 5, 9, 22, 23]]"
2,9,r-2qcttkzrtr0o2kn,if CO_Detector.alarm() OR Gas_Sensor.alarm(),1,,,,flash All_lights AND Security_Alarm.strobe,CO Detector && Gas Sensor,smokeDetector && odorSensor,t_smokeDetector1.alarm == true && t_odorSensor1.odorLevel > 5,Security Alarm,alarm,alarm1.strobe(),alarm-greater,both,,,,,NS,Not sure,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [12, 13], [1, 3, 15], [], [], [17, 20], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
2,10,r-2qcttkzrtr0o2kn,if Motion_Sensor.trigger(),1,,,,Security_Camera.record(),Motion Sensor,motionSensor,t_motionSensor1.motion == 'active',Security Camera,image,image1.take(),active,take,,,,,MD,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[0, 5, 9, 12, 14], [], [], [], [], [], [0, 5, 10, 14, 17, 20, 23], [2, 11, 12, 16, 19], [], [], [], [], [3, 6, 11, 13, 18, 21], [9, 11, 13, 15, 20, 22], [], [], [2, 12, 18], [3, 9, 13, 15, 17, 20], [7, 8, 13, 16], [], [], [], [1, 2, 3, 12, 16, 21], [], [3, 6, 18, 22], [1, 3, 4, 7, 12, 14], [1, 3, 12, 14, 20, 21], []]"
