#,Answer,%,Count
1,Air Conditioner,3.61%,32
5,Light Bulb,3.61%,32
9,Thermostat,3.16%,28
36,Security Camera,3.05%,27
35,Security Alarm,2.93%,26
31,Door Lock,2.82%,25
29,Audio Player,2.60%,23
55,Temperature Sensor,2.60%,23
32,Garage Door Opener,2.37%,21
39,Smart TV,2.37%,21
40,Speaker,2.37%,21
53,Smoke Detector,2.37%,21
44,Gas Sensor,2.14%,19
24,Robot Vacuum,2.03%,18
48,Motion Sensor,2.03%,18
69,Switches,2.03%,18
6,Shades/Blinds,1.92%,17
22,Refrigerator,1.92%,17
43,CO Detector,1.92%,17
41,Water Leak Detector,1.81%,16
2,Coffee Maker,1.69%,15
61,Doorbell,1.69%,15
66,Lighting Remote,1.69%,15
71,Air Cooler,1.58%,14
33,Glass Break Detector,1.58%,14
51,Presence Sensor,1.58%,14
57,Air Purifier,1.58%,14
7,Smart Printer,1.47%,13
3,Fan,1.35%,12
15,Dishwasher,1.35%,12
27,Water Heater,1.35%,12
49,Open/Close Sensor,1.35%,12
60,Car Automation,1.35%,12
4,Humidifier,1.24%,11
8,Sprinkler,1.24%,11
37,Sleep Monitor,1.24%,11
38,Smart Mirror,1.24%,11
42,Water Purifier,1.24%,11
45,Humidity Sensor,1.24%,11
73,Clothes Dryer,1.13%,10
11,Weather Station,1.13%,10
46,Illuminance Sensor,1.13%,10
62,Electric Blanket,1.13%,10
63,Energy Meter,1.13%,10
64,Water Filter,1.13%,10
72,Beacon Device,1.02%,9
10,Vent,1.02%,9
17,Gas Stove,1.02%,9
20,Microwave Oven,1.02%,9
59,Button,1.02%,9
68,Smart Battery,1.02%,9
16,Dust Detector,0.90%,8
30,Blood Pressure Monitor,0.90%,8
19,Kettle,0.79%,7
34,Pulse Monitor,0.79%,7
47,Moisture Sensor,0.79%,7
54,Step Sensor,0.79%,7
70,Valve,0.79%,7
14,Bread Maker,0.68%,6
67,Scene Switch,0.68%,6
23,Rice Cooker,0.56%,5
21,Oil Warmer,0.45%,4
25,Sous Vide,0.45%,4
65,GeoLocation Monitor,0.45%,4
50,PH Sensor,0.34%,3
52,Smart IR,0.34%,3
18,Induction CookTop,0.23%,2
56,Tilt Sensor,0.23%,2
58,Airer,0.23%,2
26,SoyMilk Maker,0.00%,0
