ResponseId,ResponseId,Intersection: 0 = common; 1 = unique,Common app name,Trigger,Trigger String,Trigger Tokens,Action,Action Tokens,Frequency,Week,Time,Scheduled
r_2t9vfwri4enmkfi,r-2t9vfwri4enmkfi,0,Bright When Dark And/Or Bright After Sunset,mode is Away AND time is (after sunset),mode is Away AND time is (after sunset),"<null-null,locationMode-time,away-evening>",switch on the Light Bulb,"<Light_Bulb,switch,on>",Few times in a day (1-5/day),Weekend,Evening(5pm-8pm) | Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_2t9vfwri4enmkfi,r-2t9vfwri4enmkfi,0,Bright When Dark And/Or Bright After Sunset,mode is Away AND time is (after 10pm +- random(30 minutes),mode is Away AND time is (after 10pm +- random(30 minutes),"<null-null,locationMode-time,away-night>",switch off the Light Bulb,"<Light_Bulb,switch,off>",Few times in a month,Weekend,Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_2t9vfwri4enmkfi,r-2t9vfwri4enmkfi,1,,temperature outside > 80F AND mode is Away,temperature outside > 80F AND mode is Away,"<Temperature_Sensor-null,temperature-locationMode,greater-away>",set level of Air Conditioner to 79F AND close blinds,"<Air_Conditioner-Shades/Blinds,thermostat-contact,decreased-closed>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2t9vfwri4enmkfi,r-2t9vfwri4enmkfi,0,It's Too Hot,temperature outside > 80F AND mode is Home,temperature outside > 80F AND mode is Home,"<Temperature_Sensor-null,temperature-locationMode,greater-home>",set level of Air Conditioner to 76F,"<Air_Conditioner,thermostat,decreased>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2t9vfwri4enmkfi,r-2t9vfwri4enmkfi,0,It's Too Hot,temperature < 50F AND mode is Away,temperature < 50F AND mode is Away,"<Temperature_Sensor-null,temperature-locationMode,lesser-away>",set heatingSetpoint of Thermostat to 55F,"<Thermostat,thermostat,increased>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2t9vfwri4enmkfi,r-2t9vfwri4enmkfi,0,It's Too Hot,temperature < 60F AND mode is Home,temperature < 60F AND mode is Home,"<Temperature_Sensor-null,temperature-locationMode,lesser-home>",set heatingSetpoint of Thermostat to 60F,"<Thermostat,thermostat,increased>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2qcttkzrtr0o2kn,r-2qcttkzrtr0o2kn,0,It's Too Hot,if Thermostat.measure > 72,if Thermostat.measure > 72,"<Temperature_Sensor,temperature,greater>",turn on Fan AND turn on Air Conditioner,"<Air_Conditioner-Fan,thermostat-switch,auto-on>",Many times in a day (5+ /day),Anytime,Around noon(11am-1pm) | Afternoon(1pm-5pm) | Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_2qcttkzrtr0o2kn,r-2qcttkzrtr0o2kn,0,It's Too Cold,if Thermostat.measure >= 72,if Thermostat.measure >= 72,"<Temperature_Sensor,temperature,lesser>",turn off Fan and turn off Air Conditioner,"<Air_Conditioner-Fan,thermostat-switch,off-off>",Many times in a day (5+ /day),Anytime,Morning(6am- 11am) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_2qcttkzrtr0o2kn,r-2qcttkzrtr0o2kn,1,,if CO_Detector.alarm() OR Gas_Sensor.alarm(),if CO_Detector.alarm() OR Gas_Sensor.alarm(),"<CO_Detector-Gas_Sensor,alarm-alarm,siren-siren>",flash All_lights AND Security_Alarm.strobe,"<Light_Bulb-Security_Alarm,mode-alarm,flash-strobe>",Not Sure,Not sure,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2qcttkzrtr0o2kn,r-2qcttkzrtr0o2kn,1,,if Motion_Sensor.trigger(),if Motion_Sensor.trigger(),"<Motion_Sensor,motion,detected>",Security_Camera.record(),"<Security_Camera,video,record>",Many times in a day (5+ /day),Anytime,Morning(6am- 11am) | Around noon(11am-1pm) | Afternoon(1pm-5pm) | Evening(5pm-8pm) | Night(8pm-6am) | Anytime,Executed at random (e.g. |  every time I enter the room)
